#{"t_start": 1589058354.668272, "env_id": null}
r,l,t
8,21,378.065098
9,20,378.359643
9,20,378.653654
8,21,378.948583
9,20,379.252159
7,20,379.524771
8,21,379.821966
-2,9,379.931369
7,22,380.226137
7,18,380.482745
9,20,380.778404
9,20,381.072851
9,20,381.368521
7,18,381.634631
-2,9,381.745253
9,20,382.040219
9,20,382.334719
7,22,382.636067
8,21,382.931061
9,20,383.223946
5,22,383.526504
9,20,383.822122
9,20,384.115937
9,20,384.413616
2,13,384.580725
8,19,384.860499
9,20,385.155413
7,20,385.435086
8,21,385.730625
8,21,386.028228
8,21,386.349965
8,21,386.65724
7,18,386.908664
9,20,387.20562
9,20,387.501668
9,20,387.795958
8,21,388.090984
9,20,388.385749
9,20,388.678487
6,21,388.996466
9,20,389.295192
8,21,389.592391
9,20,389.891866
9,20,390.192919
8,19,390.471526
5,22,390.779201
9,20,391.073367
9,20,391.370772
9,20,391.665568
9,20,391.961021
8,21,392.266893
9,20,392.56901
8,21,392.864362
7,22,393.165671
8,21,393.462423
8,21,393.762764
8,21,394.059023
9,20,394.353907
-6,5,394.414613
8,21,394.712906
9,20,395.007556
8,21,395.308122
8,21,395.606916
8,21,395.909487
6,21,396.206876
8,21,396.508176
9,20,396.801956
5,24,397.106211
8,21,397.405094
9,20,397.698506
9,20,397.99188
9,20,398.285922
9,20,398.580266
9,20,398.874307
9,20,399.169991
9,20,399.464646
9,20,399.758313
8,19,400.030674
9,20,400.324841
9,20,400.620742
9,20,400.920244
9,20,401.212818
1,12,401.374432
9,20,401.667076
9,20,401.964776
9,20,402.259727
5,22,402.53479
8,21,402.832677
9,20,403.126208
8,19,403.402015
9,20,403.696275
7,22,404.009849
8,21,404.305912
9,20,404.602445
2,15,404.792429
3,18,405.048719
9,20,405.344532
9,20,405.637462
9,20,405.932449
8,21,406.231927
8,21,406.528151
7,22,406.825851
9,20,407.122895
8,21,407.41863
6,23,407.71894
2,15,407.909125
7,22,408.221318
8,21,408.520494
9,20,408.813011
9,20,409.10702
9,20,409.401264
9,20,409.694388
9,20,409.988273
5,20,410.247202
8,21,410.543209
9,20,410.839101
8,21,411.144443
9,20,411.441573
9,20,411.735122
1,12,411.883852
5,22,412.203627
8,19,412.475328
8,21,412.770452
9,20,413.06397
9,20,413.358261
9,20,413.653346
7,20,413.925576
9,20,414.219587
7,22,414.52631
9,20,414.820779
8,21,415.121155
7,22,415.42438
9,20,415.723066
8,21,416.028463
8,21,416.325228
9,20,416.623678
