#{"t_start": 1589046328.0579042, "env_id": null}
r,l,t
-5,14,131.743649
-7,10,131.846332
-5,12,131.962537
-7,10,132.046012
-6,13,132.167739
-8,5,132.216809
-10,3,132.257343
-8,3,132.295898
-3,8,132.386138
-8,7,132.458367
-6,13,132.564596
-9,14,132.66762
-14,17,132.817091
-4,7,132.909562
-7,6,132.971582
-7,4,133.020279
-7,14,133.152273
-6,5,133.209521
-6,13,133.337272
-7,8,133.422688
-5,8,133.505558
-6,13,133.627614
-5,10,133.726828
-6,5,133.788456
-7,10,133.906047
-6,7,133.980488
-2,9,134.089584
-9,8,134.151823
-9,10,134.229502
-8,5,134.291411
-6,9,134.384415
-5,10,134.492149
-5,6,134.562088
-6,5,134.622925
-6,5,134.687434
-9,16,134.806573
-7,6,134.868853
-7,6,134.928268
-8,13,135.033566
-11,12,135.121189
-7,8,135.215313
-8,9,135.284922
-9,10,135.363985
-7,4,135.415206
-6,7,135.48414
-10,9,135.556039
-2,13,135.695114
-8,5,135.744207
-5,8,135.823786
-6,9,135.916298
-5,12,136.028494
-6,11,136.122454
-6,5,136.184729
-4,9,136.293982
-9,4,136.350504
-4,7,136.434213
-4,7,136.515529
-6,15,136.656408
-5,10,136.750747
-5,10,136.855176
-7,4,136.906114
-3,8,137.000507
-8,3,137.040947
-6,5,137.099866
-2,13,137.229513
-6,7,137.316713
-4,7,137.409401
-8,13,137.523749
-4,9,137.623271
-5,8,137.716443
-4,9,137.822997
-9,12,137.909224
-5,6,137.978517
-6,13,138.096996
-8,11,138.191299
-6,19,138.368469
-5,14,138.493544
-7,6,138.556978
-6,5,138.619539
-6,7,138.692743
-7,8,138.762354
-6,5,138.82016
-5,16,138.976954
-5,8,139.062459
-8,5,139.111957
-6,5,139.175382
-5,12,139.284336
-9,8,139.368763
-4,11,139.475068
-8,15,139.612831
-8,3,139.652011
-4,9,139.743281
-7,14,139.855593
-7,10,139.963939
-9,8,140.043337
-7,4,140.092707
-5,12,140.207803
-4,11,140.311566
-7,8,140.406286
-5,6,140.486238
-7,4,140.537923
-4,7,140.655793
-6,7,140.737617
