#{"t_start": 1589052117.7249138, "env_id": null}
r,l,t
32,51,1016.464804
32,51,1017.303456
32,51,1018.14955
28,51,1018.971353
32,51,1019.825636
29,51,1020.65836
32,51,1021.502735
29,51,1022.334609
29,51,1023.16154
32,51,1024.011198
29,51,1024.842485
32,51,1025.689767
32,51,1026.535559
32,51,1027.386828
32,51,1028.236418
32,51,1029.075387
32,51,1029.922841
32,51,1030.764139
32,51,1031.622703
32,51,1032.469392
32,51,1033.323829
32,51,1034.169791
32,51,1035.010847
32,51,1035.864861
32,51,1036.717506
32,51,1037.55552
32,51,1038.403889
29,51,1039.223781
32,51,1040.06365
29,51,1040.895209
32,51,1041.7379
32,51,1042.57568
29,51,1043.407493
29,51,1044.24103
32,51,1045.086117
29,51,1045.911212
29,51,1046.745177
32,51,1047.583721
32,51,1048.428268
32,51,1049.285477
32,51,1050.123151
32,51,1050.960499
32,51,1051.803918
32,51,1052.643898
29,51,1053.479292
32,51,1054.320637
32,51,1055.160603
29,51,1055.984551
32,51,1056.823257
29,51,1057.651279
32,51,1058.502914
32,51,1059.339692
32,51,1060.194767
29,51,1061.034696
32,51,1061.878182
32,51,1062.736291
29,51,1063.552319
32,51,1064.393276
29,51,1065.217519
32,51,1066.067252
32,51,1066.912883
29,51,1067.737672
29,51,1068.595529
32,51,1069.472973
32,51,1070.324098
32,51,1071.19813
32,51,1072.063815
29,51,1072.885952
32,51,1073.76579
32,51,1074.633798
32,51,1075.495204
29,51,1076.340127
29,51,1077.172723
32,51,1078.020123
32,51,1078.866068
32,51,1079.707164
32,51,1080.548598
32,51,1081.385842
29,51,1082.196618
29,51,1083.028098
29,51,1083.843548
29,51,1084.667548
32,51,1085.50638
32,51,1086.346837
29,51,1087.156334
27,51,1087.84969
30,51,1088.572352
30,51,1089.290818
30,51,1090.012604
30,51,1090.752762
30,51,1091.485401
7,51,1092.099598
30,51,1092.939783
32,51,1093.790243
31,51,1094.622866
29,51,1095.446087
32,51,1096.289418
32,51,1097.127434
29,51,1097.95111
32,51,1098.818142
32,51,1099.660245
32,51,1100.505312
32,51,1101.34549
32,51,1102.186683
32,51,1103.031747
30,51,1103.869179
32,51,1104.708842
29,51,1105.535272
32,51,1106.383132
29,51,1107.213431
32,51,1108.055054
29,51,1108.883033
32,51,1109.730583
29,51,1110.542051
32,51,1111.384655
29,51,1112.209558
32,51,1113.053159
32,51,1113.892711
32,51,1114.731089
29,51,1115.560367
32,51,1116.39747
32,51,1117.243536
32,51,1118.08443
29,51,1118.910996
29,51,1119.738309
29,51,1120.574852
29,51,1121.404735
32,51,1122.242767
32,51,1123.105477
29,51,1123.922675
32,51,1124.758988
32,51,1125.603997
32,51,1126.448157
32,51,1127.286885
29,51,1128.103571
26,51,1128.915841
29,51,1129.739913
32,51,1130.579961
32,51,1131.421354
29,51,1132.235527
32,51,1133.079108
26,51,1133.859062
29,51,1134.682195
32,51,1135.524014
32,51,1136.371915
29,51,1137.183116
29,51,1138.022922
32,51,1138.913523
29,51,1139.767178
32,51,1140.626929
32,51,1141.469213
29,51,1142.293544
32,51,1143.134098
29,51,1143.942892
29,51,1144.770986
32,51,1145.608634
32,51,1146.449877
32,51,1147.293385
29,51,1148.130978
32,51,1148.975536
32,51,1149.817579
32,51,1150.659
32,51,1151.501534
32,51,1152.338973
32,51,1153.18644
32,51,1154.029201
32,51,1154.868791
32,51,1155.709092
32,51,1156.552797
32,51,1157.394214
32,51,1158.241514
29,51,1159.070676
32,51,1159.91515
32,51,1160.754871
29,51,1161.585141
29,51,1162.409221
32,51,1163.250223
29,51,1164.077805
29,51,1164.914367
32,51,1165.758503
32,51,1166.600761
29,51,1167.411215
31,51,1168.24889
32,51,1169.088056
32,51,1169.960063
32,51,1170.798243
29,51,1171.623786
32,51,1172.462375
32,51,1173.301515
32,51,1174.151094
32,51,1174.990437
32,51,1175.830838
29,51,1176.655163
32,51,1177.492344
29,51,1178.323931
29,51,1179.157781
32,51,1179.998495
32,51,1180.850138
32,51,1181.692294
29,51,1182.524913
29,51,1183.352183
29,51,1184.178433
32,51,1185.020592
29,51,1185.846389
32,51,1186.692337
32,51,1187.534044
32,51,1188.376207
32,51,1189.219391
29,51,1190.047017
29,51,1190.883612
32,51,1191.723567
29,51,1192.548166
32,51,1193.384404
32,51,1194.222523
32,51,1195.065097
32,51,1195.902388
32,51,1196.744245
32,51,1197.582759
32,51,1198.422901
32,51,1199.283903
29,51,1200.111749
32,51,1200.952014
32,51,1201.788408
32,51,1202.632716
32,51,1203.473242
29,51,1204.298681
32,51,1205.136409
32,51,1205.974072
32,51,1206.81366
29,51,1207.651894
32,51,1208.534046
29,51,1209.36288
32,51,1210.199861
29,51,1211.026062
29,51,1211.855379
32,51,1212.695749
32,51,1213.537867
32,51,1214.37783
32,51,1215.219979
32,51,1216.068925
32,51,1216.910382
32,51,1217.750283
32,51,1218.600836
32,51,1219.442719
26,51,1220.245549
29,51,1221.072557
32,51,1221.919358
29,51,1222.743353
29,51,1223.558761
32,51,1224.410411
32,51,1225.251389
32,51,1226.09764
32,51,1226.944978
29,51,1227.772028
29,51,1228.61206
32,51,1229.461051
32,51,1230.303456
32,51,1231.142865
32,51,1231.986741
32,51,1232.840073
32,51,1233.691866
32,51,1234.535786
32,51,1235.378459
29,51,1236.204762
32,51,1237.048092
32,51,1237.886854
23,51,1238.721904
32,51,1239.561504
29,51,1240.406243
29,51,1241.239452
29,51,1242.070849
29,51,1242.895958
32,51,1243.744973
32,51,1244.585205
32,51,1245.450424
32,51,1246.289585
-2,11,1246.435231
29,51,1247.261152
29,51,1248.089502
29,51,1248.938609
29,51,1249.76561
29,51,1250.588441
29,51,1251.368292
32,51,1252.208454
32,51,1253.052832
29,51,1253.880107
32,51,1254.721974
32,51,1255.558215
29,51,1256.385016
