#{"t_start": 1589060272.3949819, "env_id": null}
r,l,t
-16,9,782.92903
-16,9,784.879951
-20,11,784.983011
-21,4,786.820784
-19,14,786.934589
-21,12,788.734591
-17,10,788.832303
-15,14,790.685451
-19,6,790.751676
-18,3,792.490491
-20,9,792.57766
-21,4,792.615201
-21,26,796.411614
-13,10,796.526318
-19,8,796.607519
-15,12,798.53576
-12,13,800.380483
-19,14,800.511965
-14,7,802.27965
-17,14,802.425767
-19,14,804.320455
-21,14,806.149872
-18,5,806.203961
-16,11,807.995654
-21,16,808.136166
-21,12,809.879867
-18,5,809.93883
-20,7,811.720228
-19,8,811.799964
-15,10,813.581235
-17,10,813.716226
-16,7,813.793293
-16,7,815.575617
-18,7,815.648386
-18,3,815.684865
-15,12,817.459091
-21,18,819.333263
-12,17,821.243018
-17,4,821.288613
-17,14,821.419918
-19,6,823.167387
-14,9,823.254875
-17,8,825.090794
-17,6,825.151469
-19,6,825.207362
-14,9,827.042662
-16,13,827.149961
-19,6,828.872198
-18,3,828.908887
-20,9,828.987256
-18,5,829.043981
-16,5,830.783717
-15,8,830.872208
-18,7,830.954118
-18,7,832.770022
-19,14,834.581355
-18,13,834.687803
-18,9,836.491504
-17,4,836.538299
-20,15,838.385355
-20,11,838.498934
-15,14,840.310101
-16,7,840.382133
-18,7,842.113971
-19,12,842.228559
-15,8,843.930486
-16,5,843.990061
-18,15,845.849137
-18,7,845.907486
-15,12,846.029904
-17,8,847.833192
-18,7,847.909131
-15,14,849.738914
-20,7,849.802265
-18,9,851.564539
-17,8,851.655507
-16,7,851.736295
-18,13,853.606902
-19,2,853.637911
-18,7,855.429761
-22,7,855.498299
-15,6,855.562066
-16,7,857.301485
-20,17,857.45189
-22,19,859.282793
-20,15,861.068853
-23,10,862.881732
-17,4,862.934276
-14,9,863.024721
-20,3,863.063515
-19,6,864.848927
-18,13,864.960027
-19,10,866.721969
-17,16,868.572498
-14,9,868.659728
-18,7,868.726914
-16,5,870.486375
-19,4,870.535921
-20,15,872.391771
-21,8,872.450031
-14,11,874.368596
-17,4,874.41696
-19,2,874.446311
-19,16,876.393486
-26,25,878.339948
-19,10,878.420376
-15,6,880.30054
-18,3,880.340373
-18,7,880.420066
-20,5,882.182888
-19,8,882.260733
-18,13,884.005136
-30,29,885.919521
-15,14,887.726886
-19,2,887.756135
-16,15,889.568312
-18,17,889.720033
-16,5,891.497596
-18,11,891.604911
-20,7,893.356016
-19,16,893.463593
-22,21,895.433277
-16,9,897.200549
-17,4,897.248818
-15,8,897.334224
-18,11,899.168101
-18,15,900.986599
-20,3,901.0242
-13,12,902.813167
-15,6,902.888991
-17,4,902.93462
-17,6,903.005476
-18,5,904.771887
-19,8,904.858864
-16,7,904.925024
-17,6,906.706436
-16,5,906.761176
-18,5,906.807314
-16,7,906.883685
-22,15,908.71614
-16,5,908.770869
-16,11,910.557255
-19,4,910.595773
-18,3,910.63274
-14,11,912.497289
-25,20,914.429668
-18,3,914.466655
-16,7,914.546
-19,4,916.294187
-15,8,916.366181
-12,13,918.279156
-16,11,918.36466
-15,8,920.117231
-18,5,920.171642
-17,4,920.216765
-16,9,922.027501
-16,9,922.127325
-16,11,923.906851
-17,12,924.041666
-16,5,924.099483
-17,14,925.889954
-12,9,927.627684
-16,15,927.775213
-20,17,929.688656
-18,9,931.476341
-17,12,931.593295
-16,9,933.415651
-18,5,933.47082
-16,15,935.309734
-19,2,935.339081
-21,10,935.441899
-15,12,937.318608
-23,18,939.099762
-20,11,939.201899
-19,4,939.247411
-20,9,941.039899
-16,5,941.093996
-15,12,942.938807
-17,8,943.013978
-19,16,944.907076
-21,22,946.791259
-19,12,948.556973
-17,4,948.603902
-22,5,948.661014
-18,5,948.714743
-18,5,950.483859
-23,20,952.368282
-19,6,952.434038
-17,6,952.497418
-16,11,954.288141
-17,8,954.374574
-19,14,956.224867
-18,9,956.319393
-19,16,958.191599
-16,5,958.245962
-18,15,960.085184
-18,9,961.872266
-19,4,961.911101
-22,7,961.993367
-19,6,962.064156
-20,25,965.721082
-20,7,965.822587
-19,16,967.699708
-16,5,967.761898
-21,14,969.551872
-14,13,969.691483
-17,18,971.589211
-17,4,973.374518
-16,15,973.511633
-18,23,975.452074
-18,5,977.234165
-15,6,977.297544
-15,12,979.12577
-17,10,979.233155
-16,9,981.078074
-20,7,981.156383
-20,15,983.057381
-15,18,984.95983
-20,17,985.130963
-18,7,986.881955
-15,10,986.993365
-17,12,988.795208
-15,6,988.861154
-17,18,990.800453
-16,11,992.64771
-18,9,992.738582
-18,7,992.803528
-19,10,994.600761
-15,14,996.462908
-18,17,996.610261
-19,10,998.369582
-27,30,1000.225689
-18,3,1001.962876
-20,9,1002.046981
-17,6,1002.104718
-19,6,1003.892602
-22,23,1005.833036
-18,13,1005.96947
-15,12,1007.77239
-19,14,1009.671906
-15,16,1011.523739
-17,16,1011.675965
-18,11,1013.431242
-17,6,1013.496529
-21,16,1015.243807
-17,6,1015.299085
-14,7,1017.129443
-19,20,1018.985879
-16,5,1019.0395
-15,10,1019.132802
-19,2,1019.160732
-17,8,1020.996954
-14,9,1021.094469
-19,2,1021.12473
-19,4,1022.869627
-22,3,1022.906368
-20,21,1024.79239
-22,19,1026.676759
-25,26,1028.615671
-24,21,1030.511395
-23,22,1032.362606
-16,5,1032.419987
-26,29,1036.034233
-17,10,1036.145243
-14,11,1038.023827
-23,18,1039.839288
-17,12,1039.939033
-22,19,1041.759294
-13,8,1043.575848
-15,8,1043.65675
-20,9,1045.412279
-18,15,1045.545858
-16,9,1047.261046
-18,13,1049.077897
-15,12,1049.195847
-17,4,1049.243761
-18,5,1050.980333
-22,11,1051.084357
-20,11,1052.856723
-18,7,1052.912337
-15,10,1054.718574
-22,17,1054.875201
-19,12,1056.643347
-15,6,1056.709136
-15,8,1058.520425
-17,18,1060.39862
-18,13,1060.515443
-17,6,1062.345375
-16,9,1062.432306
-18,13,1064.36805
-18,11,1064.455551
-17,4,1064.502422
-15,12,1066.338997
-19,16,1068.150852
-14,13,1068.277506
-20,15,1070.016512
-17,16,1071.835788
-16,7,1071.904292
-18,3,1071.941005
-15,8,1073.752993
-15,12,1073.871209
-20,11,1075.71265
-16,9,1075.810949
-17,10,1077.639744
-17,4,1077.685333
-17,8,1079.459693
-18,3,1079.496779
-13,12,1079.62087
-19,6,1081.452104
-19,4,1081.49755
-18,7,1081.565599
-20,15,1083.411649
-16,13,1085.289465
-19,10,1085.37535
-16,7,1085.439123
-17,6,1087.234323
-18,9,1087.322057
-20,15,1089.175842
-17,6,1089.237585
-17,4,1089.287001
-18,7,1091.138335
-16,9,1091.230187
-17,10,1093.028461
-22,17,1094.872875
-17,4,1094.920919
-17,4,1094.966779
-13,10,1095.062656
-19,10,1096.8439
-15,10,1096.943906
-17,12,1098.766214
-16,15,1100.505613
-17,6,1100.573873
-18,7,1100.641624
-14,7,1102.434529
-15,14,1104.373799
-16,5,1104.428377
-18,7,1104.495126
-20,9,1106.251729
-19,10,1106.358942
-16,7,1106.432569
-20,11,1108.236552
-12,21,1110.133654
-15,10,1111.96638
-14,7,1112.041782
-13,8,1112.130198
-16,19,1114.024618
-17,10,1115.864862
-15,8,1115.952432
-16,9,1117.750491
-16,11,1117.872951
-18,11,1119.671556
-22,23,1121.534087
-19,6,1121.605036
-27,30,1125.26468
-20,5,1125.305809
-19,18,1127.130583
-15,6,1127.195808
-14,13,1129.029916
-14,15,1129.167013
-17,8,1130.987845
-18,25,1132.944047
-19,12,1134.731867
-16,13,1134.855998
-19,8,1136.640122
-20,17,1138.487202
-19,14,1138.588583
-19,8,1140.405455
-17,12,1140.506893
-20,15,1142.261515
-20,7,1142.339406
-18,13,1144.132148
-17,12,1145.954282
-12,9,1146.052598
-23,30,1149.656823
-20,7,1149.715649
-25,22,1151.606704
-16,9,1153.427712
-17,8,1153.505843
-16,11,1153.600696
-22,15,1155.427469
-16,9,1157.267324
-18,15,1157.401064
-18,3,1159.098232
-18,11,1159.20611
-25,18,1161.01113
-17,8,1161.089846
-20,13,1162.880476
-19,8,1162.956105
-20,3,1164.739627
-13,8,1164.827256
-19,16,1166.723849
-15,12,1166.840078
-23,22,1170.383459
-19,2,1170.412771
-17,6,1170.471578
-22,17,1172.318894
-21,2,1172.347265
-14,11,1172.467111
-19,4,1174.224312
-22,15,1174.314489
-15,8,1176.101405
-16,5,1176.173508
-16,7,1176.25254
-16,5,1178.046907
-15,12,1178.180577
-19,2,1178.20812
-14,15,1180.033114
-17,4,1180.078401
-19,2,1180.105835
-16,13,1181.937909
-14,9,1182.030774
-9,12,1183.930534
-20,15,1185.75756
-18,13,1185.864066
-17,10,1187.736224
-21,12,1189.55249
-16,13,1189.674603
-20,3,1189.712668
-17,4,1191.485103
-17,6,1191.555892
-20,17,1193.38028
-20,11,1193.456074
-20,11,1195.325911
-17,14,1197.23776
-21,12,1197.342603
-20,15,1199.176759
-17,10,1199.258032
-19,14,1201.110212
-20,19,1202.965289
-17,6,1203.023577
-21,16,1204.849899
-18,11,1206.64775
-17,12,1206.778332
-18,17,1208.665629
-18,7,1208.729084
-16,7,1210.494996
-16,5,1210.552495
-18,9,1212.38068
-13,8,1212.467714
-19,12,1214.308073
-17,12,1214.421149
-17,16,1216.308065
-13,10,1216.413478
-15,8,1218.211524
-21,20,1220.030114
-15,12,1220.135915
-14,9,1221.908721
-20,15,1223.735
-17,6,1223.805099
-18,7,1223.872048
-21,20,1225.715191
-19,14,1227.534292
-21,20,1229.407024
-19,14,1231.269542
-15,8,1231.352612
-15,6,1231.416421
-15,8,1233.154563
-16,9,1233.228887
-19,20,1235.051994
-19,12,1236.829646
-17,16,1238.655688
-26,29,1240.620609
-14,7,1240.697353
-18,7,1242.589815
-14,9,1242.681915
-18,13,1244.646126
-22,11,1244.739737
